"bez";"spr";"spr24"
9;"09028";"09028"
19;"19062";"19062"
3;"03032";"03032"
11;"11014";"11014"
14;"14030";"14034"
12;"12002";"12002"
22;"22092";"22092"
10;"10008";"10008"
5;"05035";"05035"
10;"10096";"10096"
7;"07005";"07005"
21;"21112";"21112"
20;"20037";"20037"
2;"02068";"02068"
3;"03065";"03065"
11;"11056";"11056"
15;"15008";"15008"
22;"22022";"22022"
14;"14001";"14001"
12;"12032";"12032"
15;"15035";"15035"
8;"08008";"08008"
11;"11019";"11019"
10;"10083";"10083"
21;"21111";"21111"
16;"16024";"16025"
23;"23046";"23104"
23;"23049";"23049"
10;"10019";"10019"
6;"06012";"06012"
14;"14022";"14076"
9;"09031";"09031"
22;"22057";"22057"
22;"22084";"22084"
22;"22074";"22074"
10;"10028";"10028"
9;"09024";"09024"
2;"02004";"02004"
5;"05021";"05021"
10;"10125";"10125"
23;"23017";"23017"
22;"22001";"22001"
9;"09032";"09032"
6;"06008";"06008"
13;"13011";"13008"
21;"21022";"21022"
5;"05032";"05032"
10;"10112";"10112"
22;"22015";"22015"
23;"23039";"23039"
6;"06019";"06019"
1;"01014";"01013"
22;"22143";"22143"
13;"13004";"13012"
22;"22010";"22010"
9;"09005";"09005"
12;"12057";"12057"
22;"22108";"22108"
17;"17022";"17022"
3;"03068";"03068"
16;"16038";"16038"
13;"13003";"13040"
23;"23004";"23004"
23;"23027";"23027"
14;"14017";"14035"
10;"10031";"10056"
19;"19057";"19057"
11;"11025";"11025"
9;"09015";"09015"
23;"23044";"23046"
22;"22109";"22109"
20;"20051";"20051"
17;"17018";"17018"
23;"23025";"23025"
21;"21066";"21066"
22;"22126";"22126"
10;"10064";"10064"
21;"21114";"21114"
10;"10128";"10128"
20;"20055";"20055"
22;"22125";"22125"
10;"10042";"10042"
22;"22111";"22111"
10;"10033";"10033"
23;"23014";"23014"
22;"22035";"22020"
16;"16047";"16047"
2;"02037";"02037"
21;"21012";"21012"
11;"11030";"11030"
21;"21087";"21087"
16;"16030";"16030"
19;"19052";"19052"
22;"22027";"22027"
4;"04010";"04026"
16;"16039";"16039"
15;"15006";"15006"
21;"21084";"21084"
2;"02012";"02012"
23;"23032";"23032"
22;"22025";"22025"
21;"21082";"21082"
20;"20007";"20007"
2;"02024";"02024"
18;"18035";"18035"
16;"16052";"16052"
23;"23062";"23062"
6;"06020";"06020"
13;"13026";"13013"
12;"12058";"12058"
16;"16075";"16075"
22;"22100";"22100"
22;"22127";"22127"
10;"10017";"10017"
22;"22077";"22077"
17;"17010";"17010"
8;"08011";"08011"
16;"16053";"16053"
2;"02007";"02007"
23;"23064";"23064"
10;"10037";"10037"
12;"12026";"12026"
18;"18021";"18021"
19;"19001";"19001"
22;"22124";"22124"
10;"10011";"10012"
14;"14021";"14026"
10;"10101";"10101"
10;"10134";"10134"
2;"02048";"02048"
2;"02047";"02047"
13;"13006";"13041"
12;"12022";"12022"
12;"12063";"12067"
22;"22118";"22118"
14;"14044";"14057"
21;"21038";"21038"
3;"03060";"03060"
12;"12031";"12031"
5;"05022";"05022"
22;"22097";"22097"
10;"10091";"10092"
23;"23022";"23022"
22;"22073";"22073"
23;"23071";"23071"
20;"20056";"20056"
11;"11048";"11048"
12;"12033";"12033"
5;"05019";"05019"
19;"19023";"19023"
2;"02015";"02015"
13;"13001";"13001"
19;"19061";"19061"
17;"17012";"17038"
10;"10130";"10143"
7;"07027";"07014"
16;"16005";"16005"
12;"12048";"12048"
16;"16001";"16001"
22;"22043";"22157"
10;"10066";"10066"
22;"22086";"22086"
10;"10117";"10117"
17;"17020";"17020"
13;"13036";"13033"
22;"22016";"22016"
22;"22095";"22095"
12;"12047";"12047"
2;"02031";"02031"
22;"22072";"22072"
21;"21099";"21099"
2;"02042";"02042"
20;"20049";"20049"
22;"22067";"22067"
5;"05006";"05006"
10;"10057";"10057"
10;"10118";"10118"
10;"10022";"10022"
22;"22003";"22003"
9;"09006";"09006"
19;"19025";"19025"
16;"16073";"16072"
10;"10135";"10135"
21;"21052";"21052"
22;"22082";"22082"
21;"21121";"21121"
16;"16054";"16054"
22;"22060";"22060"
5;"05015";"05015"
22;"22041";"22041"
11;"11027";"11027"
22;"22034";"22034"
10;"10020";"10020"
17;"17036";"17036"
16;"16011";"16011"
15;"15029";"15029"
14;"14013";"14020"
2;"02005";"02005"
2;"02033";"02033"
13;"13040";"13032"
10;"10079";"10079"
16;"16056";"16056"
16;"16004";"16004"
7;"07013";"07013"
10;"10114";"10114"
13;"13014";"13015"
11;"11070";"11070"
20;"20010";"20010"
5;"05008";"05008"
15;"15044";"15044"
18;"18024";"18024"
8;"08013";"08013"
21;"21045";"21045"
22;"22075";"22076"
13;"13027";"13026"
22;"22064";"22064"
7;"07015";"07015"
19;"19042";"19042"
22;"22037";"22037"
17;"17017";"17017"
22;"22069";"22069"
1;"01004";"01011"
14;"14046";"14059"
22;"22121";"22121"
18;"18039";"18039"
22;"22013";"22013"
23;"23086";"23086"
19;"19020";"19020"
2;"02070";"02070"
21;"21016";"21016"
3;"03066";"03066"
19;"19014";"19014"
14;"14058";"14063"
23;"23050";"23098"
15;"15037";"15037"
10;"10005";"10005"
19;"19050";"19050"
11;"11054";"11054"
17;"17002";"17002"
22;"22004";"22004"
21;"21115";"21115"
11;"11049";"11049"
16;"16080";"16045"
22;"22103";"22103"
6;"06017";"06017"
7;"07008";"07008"
5;"05025";"05025"
20;"20011";"20011"
20;"20008";"20008"
15;"15027";"15027"
21;"21031";"21031"
9;"09007";"09007"
18;"18036";"18036"
6;"06006";"06006"
11;"11034";"11034"
3;"03052";"03052"
14;"14032";"14037"
10;"10025";"10024"
23;"23033";"23033"
23;"23090";"23090"
16;"16035";"16035"
6;"06009";"06009"
23;"23059";"23059"
8;"08017";"08017"
1;"01008";"01007"
10;"10016";"10016"
12;"12052";"12052"
5;"05010";"05010"
11;"11004";"11001"
10;"10070";"10070"
17;"17035";"17035"
16;"16062";"16062"
14;"14042";"14055"
23;"23045";"23045"
1;"01009";"01013"
6;"06014";"06014"
16;"16003";"16003"
13;"13012";"13009"
19;"19017";"19064"
8;"08020";"08020"
15;"15042";"15042"
22;"22110";"22110"
10;"10065";"10065"
3;"03011";"03011"
21;"21104";"21104"
4;"04001";"04001"
10;"10026";"10026"
5;"05007";"05007"
10;"10080";"10080"
11;"11020";"11020"
10;"10086";"10086"
15;"15011";"15011"
23;"23031";"23031"
12;"12008";"12007"
17;"17037";"17037"
23;"23100";"23100"
3;"03024";"03024"
