"bez";"spr";"spr24"
10;"10058";"10058"
16;"16034";"16034"
21;"21060";"21060"
6;"06015";"06015"
7;"07002";"07002"
16;"16067";"16067"
19;"19040";"19040"
22;"22090";"22090"
12;"12057";"12057"
2;"02051";"02051"
9;"09010";"09010"
10;"10085";"10085"
3;"03071";"03071"
15;"15007";"15007"
13;"13034";"13039"
8;"08004";"08004"
3;"03009";"03009"
23;"23065";"23065"
6;"06025";"06025"
21;"21125";"21125"
23;"23025";"23025"
10;"10095";"10095"
19;"19038";"19038"
21;"21114";"21114"
16;"16045";"16044"
10;"10093";"10093"
21;"21120";"21120"
23;"23067";"23067"
10;"10088";"10088"
6;"06010";"06010"
21;"21059";"21059"
2;"02052";"02052"
23;"23013";"23013"
22;"22102";"22102"
21;"21045";"21045"
13;"13033";"13035"
22;"22001";"22001"
22;"22011";"22011"
8;"08007";"08007"
4;"04008";"04008"
16;"16052";"16052"
5;"05029";"05029"
11;"11060";"11060"
18;"18029";"18029"
7;"07009";"07011"
11;"11061";"11061"
22;"22024";"22024"
15;"15027";"15027"
2;"02036";"02036"
5;"05030";"05030"
7;"07013";"07013"
13;"13009";"13006"
9;"09004";"09004"
11;"11017";"11017"
22;"22048";"22048"
11;"11037";"11037"
12;"12029";"12029"
19;"19005";"19005"
4;"04022";"04024"
6;"06019";"06019"
14;"14072";"14069"
21;"21123";"21123"
22;"22006";"22006"
3;"03060";"03060"
10;"10055";"10055"
16;"16013";"16013"
10;"10060";"10060"
12;"12044";"12044"
21;"21030";"21030"
11;"11059";"11059"
22;"22009";"22009"
21;"21036";"21036"
19;"19052";"19052"
14;"14003";"14003"
23;"23089";"23089"
20;"20005";"20005"
23;"23035";"23035"
22;"22147";"22147"
10;"10110";"10110"
20;"20024";"20024"
6;"06017";"06017"
22;"22064";"22064"
6;"06001";"06001"
20;"20036";"20036"
13;"13007";"13003"
23;"23054";"23055"
22;"22152";"22155"
14;"14011";"14049"
12;"12011";"12011"
6;"06003";"06003"
16;"16024";"16025"
18;"18017";"18017"
23;"23077";"23077"
16;"16015";"16015"
22;"22004";"22004"
19;"19018";"19064"
11;"11015";"11015"
14;"14056";"14016"
22;"22104";"22104"
21;"21046";"21046"
20;"20022";"20022"
23;"23015";"23015"
16;"16064";"16076"
9;"09016";"09016"
11;"11049";"11049"
23;"23048";"23048"
10;"10102";"10102"
22;"22101";"22101"
12;"12008";"12007"
11;"11027";"11027"
10;"10136";"10136"
23;"23076";"23076"
15;"15024";"15024"
5;"05005";"05005"
16;"16049";"16049"
15;"15029";"15029"
14;"14008";"14006"
18;"18037";"18037"
10;"10119";"10119"
21;"21064";"21064"
21;"21079";"21079"
17;"17031";"17031"
19;"19058";"19058"
21;"21077";"21077"
6;"06012";"06012"
20;"20012";"20012"
22;"22065";"22066"
3;"03002";"03002"
8;"08017";"08017"
20;"20006";"20059"
17;"17015";"17015"
23;"23023";"23023"
14;"14022";"14076"
10;"10073";"10039"
21;"21088";"21088"
22;"22137";"22137"
4;"04013";"04013"
10;"10009";"10014"
2;"02005";"02005"
13;"13035";"13036"
16;"16004";"16004"
14;"14019";"14061"
14;"14012";"14030"
11;"11073";"11073"
21;"21061";"21061"
22;"22107";"22107"
2;"02008";"02008"
20;"20032";"20032"
9;"09022";"09022"
13;"13003";"13040"
23;"23001";"23001"
3;"03052";"03052"
16;"16018";"16018"
12;"12054";"12056"
16;"16051";"16066"
23;"23042";"23042"
23;"23080";"23080"
10;"10051";"10051"
20;"20055";"20055"
10;"10105";"10105"
19;"19036";"19036"
6;"06014";"06014"
10;"10045";"10045"
22;"22059";"22059"
13;"13002";"13031"
3;"03003";"03003"
12;"12028";"12028"
20;"20010";"20010"
1;"01005";"01007"
22;"22015";"22015"
21;"21023";"21023"
12;"12033";"12033"
12;"12001";"12001"
10;"10026";"10026"
21;"21050";"21050"
10;"10079";"10079"
22;"22066";"22066"
9;"09008";"09008"
10;"10012";"10012"
16;"16059";"16059"
10;"10094";"10094"
22;"22136";"22136"
22;"22076";"22076"
13;"13010";"13007"
14;"14044";"14057"
21;"21022";"21022"
14;"14051";"14011"
3;"03063";"03063"
16;"16068";"16068"
