"id";"name";"nw_eu24";"nw_eu19";"nw_nrw19";"nw_nrw17";"mean_nw"
1905;"Nußdorf-Kahlenbergergdorf";0,413396650837291;0,461813537675607;0,465228426395939;0,378952825298082;0,42984786005173
1906;"Neustift am Walde";0,390415335463259;0,455987055016181;0,446967239701589;0,344543356412793;0,409478246648456
1907;"Hohe Warte";0,452193906878712;0,452494307596771;0,456413449564134;0,369765494137353;0,432716789544243
1908;"Sievering";0,418594436310395;0,457780458383595;0,439764492753623;0,34310761789601;0,414811751335906
2001;"Brigittaviertel";0,609675645959318;0,583592117892835;0,504058998399268;0,430143567398469;0,531867582412473
2002;"Wallensteinviertel";0,505387014459881;0,551755765199161;0,520514186759025;0,451365627415615;0,50725564845842
2003;"Zwischenbrücken";0,561088772038354;0,576733557094908;0,515246343060913;0,442475366839158;0,523886009758333
2101;"Donaufeld";0,48909202642495;0,523712687922144;0,466352525401266;0,365837696335079;0,46124873402086
2102;"Floridsdorf (Zentrum)";0,5706368057912;0,611081960331619;0,54388159266208;0,46478448708932;0,547596211468555
2103;"Großjedlersdorf";0,58377293310303;0,563632983173747;0,47506316084963;0,368633336459994;0,4977756033966
2104;"Jedlesee";0,554213590120233;0,552778080995525;0,468975705843729;0,373912561644595;0,48746998465102
2105;"Leopoldau";0,566431990988454;0,555608624454148;0,486180646046225;0,378851790948738;0,496768263109391
2106;"Großfeldsiedlung";0,611111111111111;0,57109444310025;0,469462243490956;0,370211753509398;0,505469887802929
2107;"Stammersdorf";0,477149932462855;0,46481178396072;0,39972458688032;0,289288506645817;0,407743702487428
2108;"Strebersdorf";0,514599793885263;0,528091812264474;0,466759002770083;0,352910145946896;0,465590188716679
2109;"Nordrandsiedlung";0,462152572442342;0,455370207784606;0,37820324005891;0,295487208968094;0,397803307313488
2201;"Mühlwasser und Lobau";0,416666666666667;0,470347249317206;0,408006310392428;0,309203502028614;0,401055932101229
2202;"Aspern";0,47197429489468;0,487808630105377;0,429713576030428;0,319548872180451;0,427261343302734
2203;"Breitenlee";0,498742665549036;0,473633167656686;0,384970414201183;0,277756868648852;0,408775779013939
2204;"Donau-City";0,45819397993311;0,511090284286161;0,483533882203927;0,407526535863622;0,465086170571705
